Player,Tm,FantPos,G,Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Y/A,Rush TD,Tgt,Rec,Rec Yds,Y/R,Rec TD,Fmb,FL,Tot TD,2PM,2PP,FantPt,PPR,VBD,PosRk,OvRk,Opponent_15,Location_15,PointsAllowed_15,GameCompetitiveness_15,Opponent_16,Location_16,PointsAllowed_16,GameCompetitiveness_16,Opponent_17,Location_17,PointsAllowed_17,GameCompetitiveness_17,Partition,Proj Std Pts,Proj_Std_15,Proj_Std_16,Proj_Std_17,Proj PPR Pts,Proj_PPR_15,Proj_PPR_16,Proj_PPR_17
Grant Calcaterra,PHI,TE,10,0,0,0,0,0,0,0,0,0,1.9,1.7,21.6,12.71,0,0,0,0,0,0,2.2,3.86,,37,,PIT,1,6,0.6254826,WAS,0,6.9,0.8532819,DAL,1,7.5,1.1119691,Test,2.1056070243,2.7549544088,2.6177343316,2.9536030575,3.8598970291,4.289958163,4.1527380858,4.4886068116
Aidan O'Connell,LVR,QB,4,13,20.5,113.8,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.55,,42,,ATL,1,18.2,1.3315508,JAX,1,21.6,1.5347594,NOR,0,13.9,1.2620321,Train,5.5467253703,7.0565397793,7.4168606349,6.3695879076,5.5330130382,7.0445414886,7.4048623443,6.357589617
Adam Trautman,DEN,TE,10,0,0,0,0,0,0,0,0,0,1.2,0.8,15.5,19.38,0.1,0,0,0.1,0,0,2.2,2.95,,38,,IND,1,9,1.0607477,LAC,0,5.4,0.6775701,CIN,0,9.6,1.2570093,Train,2.199578918,3.1807063196,2.5323885626,3.0103324879,2.9865320436,3.8692903045,3.2209725475,3.6989164727
Zamir White,LVR,RB,7,0,0,0,0,0,8.57,24.9,2.9,0.14,1.14,0.86,4.29,5,0,0.29,0.29,0.14,0,0,3.14,4.06,,66,,ATL,1,15.2,1.3315508,JAX,1,21.3,1.5347594,NOR,0,22.4,1.2620321,Train,3.2044796486,4.7070747727,5.3373956283,5.170122901,4.065652131,5.4606006949,6.0909215505,5.9236488232
Olamide Zaccheaus,WAS,WR,11,0,0,0,0,0,0,0,0,0,3.09,2.09,22,10.52,0,0.27,0.09,0,0,0,2,4.11,,98,,NOR,0,21.4,0.8428571,PHI,1,17.4,0.6392857,ATL,1,22,0.8892857,Train,2.0756366543,4.0404677868,3.8701106439,4.3551106439,4.1373975111,5.8445085365,5.6741513937,6.1591513937
Dyami Brown,WAS,WR,11,0,0,0,0,0,0,0,0,0,1.82,1.27,13.5,10.64,0.09,0,0,0.09,0,0,1.91,3.17,,100,,NOR,0,21.4,0.8428571,PHI,1,17.4,0.6392857,ATL,1,22,0.8892857,Train,1.9306050998,3.9135651766,3.7432080337,4.2282080337,3.1795170349,5.0063631199,4.836005977,5.321005977
Ty Chandler,MIN,RB,9,0,0,0,0,0,5.33,18.8,3.52,0,0.67,0.67,4.67,7,0,0,0,0,0,0,2.33,3.01,,67,,CHI,1,18.5,0.7663934,SEA,0,20.4,0.9754098,GNB,1,17.7,0.8729508,Train,2.3760068481,4.2556453363,4.2165469757,4.186301074,3.0202281529,4.8193389781,4.7802406174,4.7499947158
Troy Franklin,DEN,WR,9,0,0,0,0,0,0.22,0.89,4,0,3.33,1.67,16,9.6,0.11,0,0,0.11,0,0,2.33,4.02,,99,,IND,1,21.8,1.0607477,LAC,0,18.2,0.6775701,CIN,0,20.9,1.2570093,Train,2.3854378925,4.6233329223,3.9750151653,4.3029590905,4.0443389917,6.074871384,5.426553627,5.7544975523
Chigoziem Okonkwo,TEN,TE,9,0,0,0,0,0,0,0,0,0,3,2.33,19.2,8.24,0.11,0.22,0.11,0.11,0,0,2.33,4.7,,40,,CIN,1,9.6,1.5823529,IND,0,9,1.3352941,JAX,0,9.1,1.6882353,Test,2.3930134132,3.4621220307,3.1274161483,3.172710266,4.7277387414,5.5050066928,5.1703008105,5.2155949281
Colby Parkinson,LAR,TE,9,0,0,0,0,0,0,0,0,0,4,2.56,23.8,9.3,0,0,0,0,0,0,2.33,4.93,,39,,SFO,0,5.1,1.0422535,NYJ,0,5,1.0328638,ARI,1,5.3,1.0328638,Train,2.4231490183,2.7344807432,2.723541776,3.003541776,4.952476806,4.9476425573,4.9367035902,5.2167035902
